name,url,birthplace,
Boyd Gordon',http://sportsforecaster.com/nhl/player/3143,CAN,
Boyd Kane',http://sportsforecaster.com/nhl/player/463,CAN,
Bracken Kearns',http://sportsforecaster.com/nhl/player/6004,CAN,
Brad Boyes',http://sportsforecaster.com/nhl/player/2129,CAN,
Brad Brown',http://sportsforecaster.com/nhl/player/175,CAN,
Brad Ference',http://sportsforecaster.com/nhl/player/1076,CAN,
Brad Isbister',http://sportsforecaster.com/nhl/player/320,CAN,
Brad Larsen',http://sportsforecaster.com/nhl/player/1781,CAN,
Brad Lukowich',http://sportsforecaster.com/nhl/player/192,CAN,
Brad Malone',http://sportsforecaster.com/nhl/player/6201,CAN,
Brad May',http://sportsforecaster.com/nhl/player/89,CAN,
Brad Richards',http://sportsforecaster.com/nhl/player/1816,CAN,
Brad Ross',http://sportsforecaster.com/nhl/player/7894,CAN,
Brad Schell',http://sportsforecaster.com/nhl/player/3086,CAN,
Brad Snetsinger',http://sportsforecaster.com/nhl/player/6530,CAN,
Brad Staubitz',http://sportsforecaster.com/nhl/player/5515,CAN,
Brad Stuart',http://sportsforecaster.com/nhl/player/1634,CAN,
Brad Thiessen',http://sportsforecaster.com/nhl/player/7289,CAN,
Brad Winchester',http://sportsforecaster.com/nhl/player/2186,USA,
Braden Christoffer',http://sportsforecaster.com/nhl/player/15941,CAN,
Brady Brassart',http://sportsforecaster.com/nhl/player/9306,CAN,
Brady Lamb',http://sportsforecaster.com/nhl/player/8927,CAN,
Brady Murray',http://sportsforecaster.com/nhl/player/3729,CAN,
Branden Troock',http://sportsforecaster.com/nhl/player/9543,CAN,
Brandon Alderson',http://sportsforecaster.com/nhl/player/8473,CAN,
Brandon Baddock',http://sportsforecaster.com/nhl/player/10947,CAN,
Brandon Bochenski',http://sportsforecaster.com/nhl/player/2312,USA,
Brandon Bollig',http://sportsforecaster.com/nhl/player/8499,,
Brandon Burlon',http://sportsforecaster.com/nhl/player/6630,,
Brandon Gormley',http://sportsforecaster.com/nhl/player/7693,,
Brandon Kozun',http://sportsforecaster.com/nhl/player/7356,,
Brandon Mashinter',http://sportsforecaster.com/nhl/player/7282,,
Brandon McMillan',http://sportsforecaster.com/nhl/player/6815,,
Brandon Prust',http://sportsforecaster.com/nhl/player/3242,,
Brandon Reid',http://sportsforecaster.com/nhl/player/2132,,
Brandon Segal',http://sportsforecaster.com/nhl/player/2734,,
Brandon Yip',http://sportsforecaster.com/nhl/player/4862,,
Branislav Fabry',http://sportsforecaster.com/nhl/player/3710,,
Branislav Mezei',http://sportsforecaster.com/nhl/player/1920,,
Branko Radivojevic',http://sportsforecaster.com/nhl/player/2099,,
Brayden Irwin',http://sportsforecaster.com/nhl/player/8483,,
Brendan Bell',http://sportsforecaster.com/nhl/player/2563,,
Brendan Mikkelson',http://sportsforecaster.com/nhl/player/5314,,
Brendan Morrison',http://sportsforecaster.com/nhl/player/219,,
Brendan Ranford',http://sportsforecaster.com/nhl/player/8393,,
Brendan Shanahan',http://sportsforecaster.com/nhl/player/539,,
Brendan Shinnimin',http://sportsforecaster.com/nhl/player/8824,,
Brendan Witt',http://sportsforecaster.com/nhl/player/799,,
Brenden Kichton',http://sportsforecaster.com/nhl/player/7198,,
Brenden Morrow',http://sportsforecaster.com/nhl/player/1108,,
Brendon Nash',http://sportsforecaster.com/nhl/player/6168,,
Brent Aubin',http://sportsforecaster.com/nhl/player/6028,,
Brent Johnson',http://sportsforecaster.com/nhl/player/1779,,
Brent Krahn',http://sportsforecaster.com/nhl/player/2144,,
Brent Raedeke',http://sportsforecaster.com/nhl/player/6873,,
Brent Regner',http://sportsforecaster.com/nhl/player/6254,,
Brent Sopel',http://sportsforecaster.com/nhl/player/308,,
Bret Hedican',http://sportsforecaster.com/nhl/player/730,,
Brett Bellemore',http://sportsforecaster.com/nhl/player/12487,,
Brett Bulmer',http://sportsforecaster.com/nhl/player/8354,,
Brett Carson',http://sportsforecaster.com/nhl/player/4533,,
Brett Clark',http://sportsforecaster.com/nhl/player/152,,
Brett Festerling',http://sportsforecaster.com/nhl/player/4574,,
Brett Flemming',http://sportsforecaster.com/nhl/player/7329,,
Brett Hemingway',http://sportsforecaster.com/nhl/player/3701,,
Brett Hull',http://sportsforecaster.com/nhl/player/647,,
Brett Lebda',http://sportsforecaster.com/nhl/player/2855,,
Brett Lernout',http://sportsforecaster.com/nhl/player/9881,,
Brett MacLean',http://sportsforecaster.com/nhl/player/6212,,
Brett McKenzie',http://sportsforecaster.com/nhl/player/11259,,
Brett McLean',http://sportsforecaster.com/nhl/player/1516,,
Brett Perlini',http://sportsforecaster.com/nhl/player/6856,,
Brett Ponich',http://sportsforecaster.com/nhl/player/7357,,
Brett Skinner',http://sportsforecaster.com/nhl/player/2961,,
Brett Sonne',http://sportsforecaster.com/nhl/player/6237,,
Brett Sterling',http://sportsforecaster.com/nhl/player/3865,,
Brett Sutter',http://sportsforecaster.com/nhl/player/5393,,
Bretton Stamler',http://sportsforecaster.com/nhl/player/5387,,
Brian Boucher',http://sportsforecaster.com/nhl/player/323,,
Brian Campbell',http://sportsforecaster.com/nhl/player/1206,,
Brian Connelly',http://sportsforecaster.com/nhl/player/7292,,
Brian Ferlin',http://sportsforecaster.com/nhl/player/8520,,
Brian Finley',http://sportsforecaster.com/nhl/player/1858,,
Brian Flynn',http://sportsforecaster.com/nhl/player/8800,,
Brian Gionta',http://sportsforecaster.com/nhl/player/1881,,
Brian Holzinger',http://sportsforecaster.com/nhl/player/83,,
Brian Lashoff',http://sportsforecaster.com/nhl/player/7139,,
Brian Lee',http://sportsforecaster.com/nhl/player/4979,,
Brian Leetch',http://sportsforecaster.com/nhl/player/422,,
Brian McGrattan',http://sportsforecaster.com/nhl/player/2731,,
Brian O'Neill',http://sportsforecaster.com/nhl/player/8392,,
Brian Pinho',http://sportsforecaster.com/nhl/player/10312,,
Brian Pothier',http://sportsforecaster.com/nhl/player/2030,,
Brian Rafalski',http://sportsforecaster.com/nhl/player/1846,,
Brian Rolston',http://sportsforecaster.com/nhl/player/230,,
Brian Salcido',http://sportsforecaster.com/nhl/player/5440,,
Brian Strait',http://sportsforecaster.com/nhl/player/5735,,
Brian Sutherby',http://sportsforecaster.com/nhl/player/2168,,
Brian Willsie',http://sportsforecaster.com/nhl/player/1422,,
Brock Trotter',http://sportsforecaster.com/nhl/player/6558,,
Brodie Dupont',http://sportsforecaster.com/nhl/player/5184,,
Brodie Reid',http://sportsforecaster.com/nhl/player/6877,,
Brody Hoffman',http://sportsforecaster.com/nhl/player/10967,,
Brody Sutter',http://sportsforecaster.com/nhl/player/8586,,
Brooks Laich',http://sportsforecaster.com/nhl/player/2553,,
Brooks Macek',http://sportsforecaster.com/nhl/player/7950,,
Bruce Graham',http://sportsforecaster.com/nhl/player/4598,,
Bruno Gervais',http://sportsforecaster.com/nhl/player/3529,,
Bruno St-Jacques',http://sportsforecaster.com/nhl/player/2306,,
Bryan Allen',http://sportsforecaster.com/nhl/player/1783,,
Bryan Berard',http://sportsforecaster.com/nhl/player/479,,
Bryan Bickell',http://sportsforecaster.com/nhl/player/4509,,
Bryan Cameron',http://sportsforecaster.com/nhl/player/6188,,
Bryan Marchment',http://sportsforecaster.com/nhl/player/1363,,
Bryan McCabe',http://sportsforecaster.com/nhl/player/987,,
Bryan Muir',http://sportsforecaster.com/nhl/player/1679,,
Bryan Pitton',http://sportsforecaster.com/nhl/player/5884,,
Bryan Rodney',http://sportsforecaster.com/nhl/player/3425,,
Bryan Smolinski',http://sportsforecaster.com/nhl/player/358,,
Bryce Aneloski',http://sportsforecaster.com/nhl/player/6599,,
Bryce Lampman',http://sportsforecaster.com/nhl/player/2478,,
Bryce Salvador',http://sportsforecaster.com/nhl/player/1915,,
Bryce Swan',http://sportsforecaster.com/nhl/player/5743,,
Bryce VanBrabant',http://sportsforecaster.com/nhl/player/9936,,
Brycen Martin',http://sportsforecaster.com/nhl/player/10862,,
Bud Holloway',http://sportsforecaster.com/nhl/player/5705,,
Buddy Robinson',http://sportsforecaster.com/nhl/player/9679,,
Byron Bitz',http://sportsforecaster.com/nhl/player/3433,,
Byron Froese',http://sportsforecaster.com/nhl/player/7507,,
Byron Ritchie',http://sportsforecaster.com/nhl/player/81,,
C.J. Suess',http://sportsforecaster.com/nhl/player/10958,,
C.O. Roussel',http://sportsforecaster.com/nhl/player/7461,,
Cade Fairchild',http://sportsforecaster.com/nhl/player/6175,,
Cal Heeter',http://sportsforecaster.com/nhl/player/8889,,
Cal O'Reilly',http://sportsforecaster.com/nhl/player/5329,,
Cale Hulse',http://sportsforecaster.com/nhl/player/249,,
Caleb Herbert',http://sportsforecaster.com/nhl/player/8383,,
Calle Andersson',http://sportsforecaster.com/nhl/player/9283,,
Calvin Pickard',http://sportsforecaster.com/nhl/player/7782,,
Calvin Thurkauf',http://sportsforecaster.com/nhl/player/11149,,
